id x y theta
7 718.90 531.44 1.911
8 36.35 409.20 -1.700
9 63.91 374.47 -1.696
10 471.76 529.90 -2.471
11 36.32 442.30 -1.635
12 150.36 421.02 -1.856
13 165.45 637.18 1.316
14 607.88 607.60 -0.867
15 298.11 709.15 0.285
34
1 700.67 193.39 1.445
2 439.84 40.12 -2.872
3 270.27 497.20 0.937
4 729.11 200.09 -1.773
5 729.70 232.35 -2.247
6 569.83 467.32 0.751
7 713.75 542.21 2.000
8 36.24 406.23 -1.737
9 61.79 362.61 -1.748
10 469.82 529.88 -2.550
11 36.76 437.94 -1.615
12 148.29 415.07 -1.821
13 165.47 637.27 1.305
14 611.35 603.58 -0.860
15 305.62 711.70 0.251
35
1 700.39 198.30 1.497
2 430.29 37.21 -2.857
3 275.32 504.48 0.869
4 728.36 198.52 -1.850
5 727.70 230.61 -2.262
6 572.63 471.26 0.745
7 709.77 551.90 1.974
8 36.56 402.28 -1.725
9 59.80 350.29 -1.784
10 468.58 530.51 -2.593
11 37.19 435.69 -1.596
12 145.84 408.31 -1.852
13 165.62 637.28 1.301
14 615.86 599.33 -0.903
15 313.64 713.15 0.290
36
1 699.64 204.06 1.544
2 421.11 34.89 -2.879
3 281.52 510.35 0.814
4 728.17 197.30 -1.855
5 725.94 227.54 -2.251
6 575.77 474.65 0.780
7 702.86 563.36 2.043
8 36.34 399.45 -1.800
9 55.92 338.69 -1.877
10 467.22 529.34 -2.584
11 37.85 433.71 -1.578
12 145.25 402.34 -1.943
13 165.75 637.13 1.280
14 618.60 595.92 -0.880
15 322.71 715.59 0.236
37
1 698.33 207.82 1.539
2 411.08 32.36 -2.894
3 287.66 516.38 0.742
4 727.38 196.00 -1.883
5 724.95 226.97 -2.222
6 579.81 477.27 0.741
7 698.04 573.54 2.002
8 36.31 397.52 -1.815
9 52.70 326.87 -1.926
10 465.23 528.76 -2.639
11 38.81 429.93 -1.523
12 143.44 395.75 -1.909
13 165.92 637.28 1.243
14 621.24 592.24 -0.774
15 330.63 717.35 0.219
38
1 697.62 209.27 1.501
2 403.01 30.97 -2.900
3 293.63 521.65 0.724
4 726.24 194.86 -1.841
5 724.76 226.80 -2.202
6 585.03 481.47 0.633
7 691.04 583.61 2.076
8 36.17 394.00 -1.818
9 49.13 316.67 -1.870
10 462.82 526.30 -2.620
11 39.07 426.27 -1.496
12 139.38 390.55 -1.900
13 166.11 637.30 1.234
14 623.56 589.42 -0.720
15 339.42 718.31 0.186
39
1 697.17 211.73 1.501
2 393.80 30.42 -2.964
3 301.16 526.67 0.658
4 724.37 191.21 -1.934
5 724.88 226.32 -2.155
6 589.04 484.34 0.574
7 685.30 592.99 2.081
8 36.64 390.57 -1.829
9 48.91 306.63 -1.812
10 458.77 524.20 -2.548
11 40.48 425.65 -1.361
12 137.34 384.83 -2.065
13 166.15 637.27 1.227
14 625.06 587.99 -0.721
15 348.18 720.20 0.165
40
1 697.34 216.07 1.549
2 384.08 28.82 -2.938
3 309.39 531.68 0.597
4 722.37 187.75 -1.948
5 724.89 225.23 -2.099
6 593.19 485.67 0.545
7 678.71 601.94 2.196
8 37.54 387.62 -1.859
9 50.45 296.11 -1.629
10 455.06 522.31 -2.547
11 42.08 423.18 -1.292
12 134.44 377.63 -2.023
13 166.30 637.35 1.203
14 627.02 587.31 -0.724
15 356.68 720.58 0.168
41
1 697.66 221.05 1.458
2 374.12 28.15 -2.962
3 315.47 535.37 0.645
4 722.44 185.08 -2.021
5 724.51 223.14 -2.054
